,size_sq_ft,propertyType,bedrooms,localityName,suburbName,companyName,rent
0,756,Independent Floor,2,A4 Block Paschim Vihar,Other,maheshwari Properties,21000
1,756,Independent Floor,2,A4 Block Paschim Vihar,Other,maheshwari Properties,20000
2,600,Apartment,1,A4 Block Paschim Vihar,Other,arun thakur,12000
3,560,Apartment,1,A4 Block Paschim Vihar,Other,maheshwari Properties,12200
4,756,Independent Floor,2,A4 Block Paschim Vihar,Other,maheshwari Properties,22000
5,756,Independent Floor,2,A4 Block Paschim Vihar,Other,maheshwari Properties,19800
6,450,Apartment,1,A4 Block Paschim Vihar,Other,maheshwari Properties,9200
7,1200,Independent Floor,3,Abul Fazal Enclave Jamia Nagar,Other,Other,15000
8,1200,Independent Floor,3,Abul Fazal Enclave Jamia Nagar,Other,Other,16500
9,1600,Independent Floor,3,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,22000
10,1200,Independent Floor,3,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,17000
11,1150,Independent Floor,3,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,14000
12,1250,Independent Floor,3,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,15000
13,650,Independent Floor,2,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,9000
14,1200,Independent Floor,3,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,14000
15,400,Independent Floor,1,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,6000
16,550,Independent Floor,2,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,7000
17,700,Independent Floor,2,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,8000
18,650,Independent Floor,2,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,9500
19,950,Independent Floor,2,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,15000
20,750,Independent Floor,2,Abul Fazal Enclave Jamia Nagar,Other,MS Properties,12000
21,700,Independent Floor,2,Alaknanda,Delhi South,Bawa Properties,27000
22,1000,Independent Floor,2,Alaknanda,Delhi South,Bawa Properties,25000
23,1400,Apartment,2,Alaknanda,Delhi South,Bawa Properties,35000
24,1500,Apartment,3,Alaknanda,Delhi South,Find A House Real Estate Consultants,40000
25,1000,Apartment,1,Alaknanda,Delhi South,Bawa Properties,25000
26,2000,Apartment,3,Alaknanda,Delhi South,Bawa Properties,37000
27,300,Apartment,1,Alaknanda,Delhi South,Bawa Properties,10000
28,630,Apartment,1,Alaknanda,Delhi South,Bawa Properties,13500
29,1600,Apartment,3,Alaknanda,Delhi South,Bawa Properties,45000
30,900,Apartment,1,Alaknanda,Delhi South,Bawa Properties,25000
31,1500,Apartment,3,Alaknanda,Delhi South,Find A House Real Estate Consultants,40000
32,1450,Independent Floor,3,Alaknanda,Delhi South,Deepak Verma,48000
33,1600,Independent Floor,3,Alaknanda,Delhi South,Hari Om Group,50000
34,1400,Independent Floor,2,Alaknanda,Delhi South,Hari Om Group,30000
